"Gouv.","Lon","Lat","S/S","Adresse","Localite","Shop ","Cafeteria","Lavage","24h/24","Restaurant","Carte pétrolière","Gasoil 50","Pétrole bleu","Gaz Bouteille","GPL","Vidange","Mélange 2T","gasoil","Lubrifiants","pneumatique","diagnostique"
"SfaOui","10.756548","34.725641","PORT DE SFAOui","PORT DE SFAOui","SFAOui","","Oui","Oui","Oui","","Oui","Oui","","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.703757","34.684178","CITE EL MOEZ","ROUTE DE GABES","SFAOui","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.496507","34.521475","MAHRES","CENTRE VILLE","MAHRES","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.733535","35.145373","EL HANCHA","ROUTE DE TUNIS GP1","EL HANCHA","","Oui","Oui","Oui","","Oui","Oui","","","","","","Oui","Oui","",""
"SfaOui","10.778943","34.759868","POUDRIERE SFAOui 2","ZONE INDUSTRIELLE POUDRIERE","SFAOui","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.778655","34.759484","POUDRIERE GPL "," POUDRIERE"," POUDRIERE","","","","Oui","","","","","","Oui","","","","","",""
"SfaOui","10.515321","34.730203","AGAREB","ROUTE DE BIR ALI BEN KHLIFA GP14","AGAREB","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.787721","34.756615","SIDI MANSOUR","SIDI MANSOUR","SFAOui","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"SfaOui","10.724730","34.713888","CITE EL HABIB","CITE EL HABIB","SFAOui","","","","Oui","","","","","","Oui","","","","","",""
"Sidi Bouzid","9.491990","35.039053","SIDI BOUZID","CENTRE VILLE","SIDI BOUZID","Oui","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Sidi Bouzid","9.418229","35.269856","JELMA","CENTRE VILLE","JELMA","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Sidi Bouzid","9.142879","34.850111","BEN AOUN","ROUTE DE GAFSA","BEN AOUN","","Oui","Oui","Oui","","Oui","Oui","Oui","","","","","Oui","Oui","",""
"Sidi Bouzid","9.669132","35.638574","OULED HAFFOUZ","ROUTE DE SFAOui","OULED HAFFOUZ","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Sidi Bouzid","9.560152","34.934223","SOUK JEDID","ROUTE DE MEKNASSI","SOUK JEDID","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Sidi Bouzid","9.796318","34.861066","REGUEB","ROUTE DE SFAOui","REGUEB","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Sidi Bouzid","9.617538","34.608744","MEKNASSY","CENTRE VILLE","MEKNASSY","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Sidi Bouzid","9.284225","35.175697","CEBBELET OULED ASKAR","CEBBELET OULED ASKAR","SIDI BOUZID","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Siliana","9.057125","35.646706","ROUHIA","CENTRE VILLE","ROUHIA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Siliana","9.374530","36.083756","SILIANA VILLE","CENTRE VILLE","SILIANA ","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","Oui",""
"Siliana","9.327547","36.332690","GAAFOUR","ROUTE BOUARADA","GAAFOUR","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Siliana","9.569742","36.093635","BARGOU","CENTRE VILLE","BARGOU","","Oui","Oui","Oui","","Oui","Oui","Oui","","","","","Oui","","",""
"Siliana"," 9.630012","36.351596","BOUARADA","ROUTE D'EL FAHS","BOUARADA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Siliana","9.203055","35.855406","MAKTAR","CENTRE VILLE","MAKTAR","","","","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Sousse","10.640512","35.822955","SOUSSE MOHAMED ALI","AV. MOHAMED ALI","SOUSSE","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Sousse","10.327015","36.041066","DAR BEL OUAER","ROUTE KAIROUAN","DAR BEL OUAER","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Sousse","10.401457","35.902599","BEL AOUM","ROUTE KONDAR","BEL AOUM","","","","Oui","","Oui","Oui","Oui","","","","","Oui","","",""
"Sousse","10.300063","35.932220","KONDAR","CENTRE VILLE","KONDAR","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Sousse","10.633222","35.831487","SOUSSE REPUBLIQUE","AV. REPUBLIQUE","SOUSSE","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Sousse","10.574112","35.732382","M'SAKEN ","CENTRE VILLE","M'SAKEN ","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Sousse","10.550723","35.869034","KALAA EL KEBIRA","CENTRE VILLE","KALAA EL KEBIRA","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Sousse","10.462899","35.963223","SIDI BOUALI","ROUTE SOUSSE GP1","SIDI BOUALI","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","","Oui","Oui","",""
"Sousse","10.596505","35.886673","KANTAOUI","ZONE TOURISTIQUE","KANTAOUI","","Oui","Oui","Oui","","Oui","Oui","","","Oui","Oui","","Oui","Oui","",""
"Sousse","10.597621","35.858809","HAMMAM SOUSSE","CENTRE VILLE","HAMMAM SOUSSE","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Sousse","10.425772","36.247465","SIDI KHELIFA"," AUTOROUTE A1 PK72","SIDI KHLIFA","Oui","Oui","Oui","Oui","Oui","Oui","Oui","","","Oui","","","Oui","Oui","",""
"Sousse","10.304792","35.680782","SIDI EL HENI","CENTRE VILLE","SIDI EL HENI","","Oui","Oui","Oui","","Oui","Oui","","","","Oui","","Oui","Oui","",""
"Sousse","10.594874","35.843863","SAHLOUL","SAHLOUL","HAMMAM SOUSSE","Oui","Oui","Oui","Oui","","Oui","Oui","","Oui","","Oui","","Oui","Oui","",""
"Sousse","10.628718","35.813833","SOUK EL AHAD","SOUK EL AHAD - ROUTE MSAKEN ","SOUSSE","Oui","Oui","Oui","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","","Oui","Oui","",""
"Tataouine","10.450658","32.931642","TATAOUINE VILLE","CENTRE VILLE","TATAOUINE ","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Tataouine","10.442723","33.177564","BIR LAHMAR","ROUTE DE TATAOUINE","BIR LAHMAR","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Tataouine","10.398559","32.319943","REMADA","ROUTE DE TATAOUINE","REMADA","","","","Oui","","Oui","Oui","Oui","Oui","","","Oui","Oui","Oui","",""
"Tataouine","10.811979","33.006290","SMAR","ROUTE DE TATAOUINE","SMAR","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Tataouine","10.460758","32.968707","NOUVELLE TATAOUINE","ROUTE DE MEDENINE","NOUVELLE TATAOUINE","","Oui","Oui","Oui","","Oui","Oui","","Oui","","Oui","","Oui","Oui","",""
"Tozeur","8.136207","33.923771","TOZEUR VILLE","CENTRE VILLE","TOZEUR ","","","","Oui","","Oui","Oui","Oui","Oui","","","","Oui","Oui","",""
"Tozeur","8.208058","33.978124","DEGACHE","ROUTE DE TOZEUR","DEGACHE","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","","Oui","Oui","",""
"Tozeur","8.141658","33.936988","ROUTE DE GAFSA ","ROUTE DE GAFSA ","TOZEUR","","","Oui","Oui","","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","",""
"Tozeur","7.895107","33.873760","NAFTA","ROUTE DE TOZEUR","NAFTA","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Tunis","10.188331","36.800018","AV.REPUBLIQUE","AV.REPUBLIQUE","TUNIS","","Oui","Oui","Oui","","Oui","Oui","","","","Oui","","Oui","Oui","",""
"Tunis","10.308082","36.821180","LA GOULETTE","CENTRE VILLE","LA GOULETTE","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","Oui",""
"Tunis","10.150718","36.811884","AV.BOUGATFA ","Av.BOUGATFA - BARDO","TUNIS","Oui","","Oui","Oui","","Oui","Oui","","","","Oui","Oui","Oui","Oui","",""
"Tunis","10.167655","36.813425","AV.HEDI SAIDI","AV.HEDI SAIDI","TUNIS","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Tunis","10.183053","36.790398","AV.CARTHAGE","AV.CARTHAGE","TUNIS","","Oui","Oui","Oui","","Oui","Oui","","","","Oui","Oui","Oui","Oui","",""
"Tunis","10.341823","36.871561","SIDI BOUSAID","CENTRE VILLE","SIDI BOUSAID","Oui","","Oui","Oui","","Oui","Oui","","Oui","","Oui","Oui","Oui","Oui","Oui",""
"Tunis","10.182881","36.817844","AV.MOHAMED V","AV.MOHAMED V","TUNIS","","Oui","Oui","Oui","","Oui","Oui","","","","Oui","","Oui","Oui","","Oui"
"Tunis","10.192339","36.786749","SORTIE SUD Z4","SORTIE SUD Z4"," TUNIS","","Oui","Oui","Oui","","Oui","Oui","","","","","","Oui","Oui","",""
"Tunis","10.204851","36.752451","ENTREE SUD","ENTREE SUD (VIA AUTOROUTE)","TUNIS","Oui","Oui","Oui","Oui","","Oui","Oui","","","","Oui","","Oui","Oui","",""
"Tunis","10.222129","36.834513","BERGES DU LAC","ROUTE DE LA MARSA GP9","TUNIS","","Oui","Oui","Oui","","Oui","Oui","","","","Oui","","Oui","Oui","",""
"Tunis","10.194920","36.839866","CITE OLYMPIQUE","CITE OLYMPIQUE","TUNIS","","Oui","Oui","Oui","Oui","Oui","Oui","","","","Oui","","Oui","Oui","",""
"Tunis","10.119466","36.794426","EZZOUHOUR","BOULEVARD MOHAMED BOUAZIZI-CITE EZZOUHOUR","TUNIS","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Tunis","10.293901","36.896132","GAMMARTH","ROUTE DE RAOUED","GAMMARTH","Oui","Oui","Oui","Oui","Oui","Oui","Oui","","","","Oui","","Oui","Oui","",""
"Tunis","10.202877","36.772518","DJEBEL JELLOUD","ROUTE DE BEN AROUS","DJEBEL JELLOUD","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Tunis","10.257061","36.854476","AL AOUINA","DAR FADHAL","AL AOUINA","Oui","","Oui","Oui","","Oui","Oui","","","","Oui","","Oui","Oui","",""
"Zaghouan","10.142097","36.403668","ZAGHOUAN","CENTRE VILLE","ZAGHOUAN ","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Zaghouan","9.904977","36.377395","EL FAHS ","CENTRE VILLE","EL FAHS ","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Zaghouan","9.957376","36.511977","BIR M'CHERGA","ROUTE GP3","BIR M'CHERGA","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Zaghouan","10.215483","36.360960","HAMMAM ZRIBA","ROUTE MC 28","HAMMAM ZRIBA","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Zaghouan","10.061099","36.113775","ENNADHOUR","ROUTE D'ENFIDHA","ENNADHOUR","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Nouvelles Stations","10.614714","35.567281","BORJINE","AUTOROUTE A1 PK 156 DIRECTION TUNIS","BORJINE (MOUNASTIR)","Oui","Oui","Oui","Oui","Oui","Oui","Oui","","","","","","Oui","Oui","",""
"Nouvelles Stations","10.650333","35.258456","PK192 EL JEM","AUTOROUTE A1 PK 192 DIRECTION SFAOui","EL JEM (MAHDIA)","Oui","Oui","","Oui","Oui","Oui","Oui","","","","","","Oui","Oui","",""
"Nouvelles Stations"," 9.414017","34.573108","MENZEL BOUZAIENE","MENZEL BOUZAIENE","MENZEL BOUZAIENE (SIDI BOUZID)","","Oui","Oui","Oui","","Oui","Oui","Oui","","","Oui","","Oui","Oui","",""
"Nouvelles Stations","10.841384","34.871713","EL BDERNA","CENTRE VILLE","EL BDERNA (SFAOui)","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","","Oui","Oui","",""
"Nouvelles Stations","10.656295","35.028344","BOUJARBOUA","CENTRE VILLE","BOUJARBOUA (SFAOui)","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","","Oui","Oui","",""
"Nouvelles Stations","7.612003","33.743777","HAZOUA","CENTRE VILLE","HAZOUA (TOZEUR)","","Oui","Oui","Oui","Oui","Oui","Oui","","Oui","","Oui","","Oui","Oui","",""
"Nouvelles Stations","8.955398","33.714965","KEBELI GPL","KEBELI","KEBELI","","","","Oui","","Oui","Oui","","Oui","Oui","","Oui","Oui","Oui","",""
"Nouvelles Stations","10.305117","36.692188","MORNAG","CENTRE VILLE","MORNAG (BEN AROUS)","","Oui","Oui","Oui","","Oui","Oui","","","","Oui","","Oui","Oui","",""
