"Gouv.","Lon","Lat","S/S","Adresse","Localite","Shop ","Cafeteria","Lavage","24h/24","Restaurant","Carte pétrolière","Gasoil 50","Pétrole bleu","Gaz Bouteille","GPL","Vidange","Mélange 2T","gasoil","Lubrifiants","pneumatique","diagnostique"
"Gabès","10.086190","33.883839","GABES GP1","GABES GP 1 VERS GHANNOUCHE","GABES","","Oui","Oui","Oui","","Oui","Oui","","","","Oui","Oui","Oui","Oui","",""
"Gabès","10.120423","33.835583","TEBOULBOU","CENTRE VILLE ","TEBOULBOU","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Gabès","9.595223","34.231366","MENZEL EL HABIB","CENTRE VILLE ","MENZEL EL HABIB","","","Oui","Oui","","Oui","Oui","Oui","Oui","","","Oui","Oui","Oui","",""
"Gabès","10.205446","33.757029"," KETTANA","ROUTE DE MEDENINE GP1"," KETTANA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Gabès","9.975200","33.982609","OUEDHREF","CENTRE VILLE ","OUEDHREF","","","Oui","Oui","","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","",""
"Gabès","10.282813","33.637490","MARETH","ROUTE DE MEDENINE ","MARETH","","Oui","Oui","Oui","","Oui","Oui","","Oui","Oui","Oui","Oui","Oui","Oui","",""
"Gabès","10.093996","33.887885","GABES VILLE ","CENTRE VILLE ","GABES VILLE ","","","","Oui","","Oui","Oui","Oui","Oui","","","Oui","Oui","Oui","",""
"Gabès","10.073756","33.899050","GHANNOUCHE","ZONE INDUSTRIELLE","GHANNOUCHE","","","","","","","","","","Oui","","","","Oui","",""
"Gabès","9.811010","33.896234","EL HAMMA","CENTRE VILLE ","EL HAMMA","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Gafsa","8.950014","34.339058","EL GUETTAR","CENTRE VILLE ","EL GUETTAR","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Gafsa","8.401687","34.316011","METLAOUI","CENTRE VILLE ","METLAOUI","","","Oui","Oui","","Oui","Oui","Oui","Oui","","","Oui","Oui","Oui","",""
"Gafsa","8.792322","34.414980","GAFSA VILLE","CENTRE VILLE","GAFSA VILLE","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Gafsa","8.783114","34.731545","SIDI AICH","CENTRE VILLE","SIDI AICH","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Gafsa","8.270247","34.491612","MOULARES","CENTRE VILLE","MOULARES","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Gafsa"," 8.762754","34.422703","GAFSA ROUTE DE TOZEUR","ROUTE DE TOZEUR","GAFSA ","","","Oui","Oui","","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","",""
"Jendouba","8.986109","36.959628","OUCHTATA","ROUTE DE TABARKA GP7 ","OUCHTATA ","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Jendouba","8.787436","36.503780","JENDOUBA VILLE","CENTRE VILLE","JENDOUBA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Jendouba"," 8.759338","36.946075","TABARKA","ROUTE DE AIN DRAHAM","TABARKA","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Jendouba","8.755193","36.518532","JENDOUBA GP17","ROUTE DE AIN DRAHAM","JENDOUBA ","","","Oui","Oui","","Oui","Oui","Oui","","","Oui","Oui","Oui","Oui","",""
"Jendouba","8.929547","36.700158","BALTA","BALTA","BALTA","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","","Oui","Oui","Oui","",""
"Jendouba","8.980596","36.613866","BOUSSALEM","BOUSSALEM","BOUSSALEM","","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Kairouan","9.517888","35.402329","HAJEB EL AYOUN ","ROUTE DE KAIROUAN","HAJEB EL AYOUN ","Oui","Oui","Oui","Oui","Oui","Oui","Oui","","Oui","","","","Oui","Oui","",""
